Height ,Weight,DraftOvrl,Age,Name,Team,Season,Playoff,Starter,GS,GP,W,L,OTL,Shots ,Saves ,GAA,Svperc,Assists,PIM,Shutouts,StGA,StSV,StSVperc,StGAA,StMIN,QS,RBS,Pull,QSperc,AdjSVperc,QoC,Gsupp,HDGSAA,SVperc5v5,xSVperc,dSVperc,HDSVperc,GSAA5v5
78,232,153,26,Scott Darling,CHI,2014,1,0,13,14,9,4,0,419,392,1.946,0.936,0,0,1,27,379,0.933,2.051,790,10,0,0,0.769,0.944,0.085,2.462,5.53,94.8,92.28,2.52,84.29,8.24
74,209,23,26,Semyon Varlamov,COL,2014,0,1,57,57,28,20,8,1791,1650,2.558,0.921,0,4,5,141,1650,0.921,2.558,3307,33,6,6,0.579,0.929,0.087,2.684,-1.25,91.75,92.26,-0.52,78.29,-7.13
74,182,0,26,Sergei Bobrovsky,CBJ,2014,0,1,49,51,30,17,3,1632,1498,2.685,0.918,2,4,2,132,1461,0.917,2.707,2926,28,3,3,0.571,0.921,0.085,2.959,-0.21,92.48,92.93,-0.45,81.82,-5.37
76,217,69,26,Steve Mason,PHI,2014,0,1,48,51,18,18,11,1490,1382,2.246,0.928,3,2,3,104,1346,0.928,2.266,2754,29,4,5,0.604,0.933,0.085,2.458,0.75,94.37,92.82,1.55,77.14,18.2
73,220,94,29,Thomas Greiss,PIT,2014,1,0,18,20,9,6,3,546,496,2.588,0.908,0,0,0,48,475,0.908,2.63,1095,9,2,0,0.5,0.917,0.086,2.611,2.87,91.99,92.86,-0.87,79.1,-3.37
74,185,21,27,Tuukka Rask,BOS,2014,0,1,67,70,34,21,13,2011,1855,2.304,0.922,0,8,3,150,1816,0.924,2.269,3966,42,8,4,0.627,0.925,0.086,2.642,-8.22,93.13,93.4,-0.26,76.29,-4.23
72,181,0,32,Viktor Fasth,EDM,2014,0,0,24,26,6,15,3,681,605,3.412,0.888,0,0,0,71,574,0.89,3.419,1246,9,9,5,0.375,0.898,0.084,2.125,-0.56,89.58,91.58,-2,80.8,-10.95
74,203,6,30,Al Montoya,FLA,2015,1,0,22,25,12,7,3,608,559,2.176,0.919,0,2,0,44,512,0.921,2.148,1229,13,3,2,0.591,0.913,0.087,2.5,-5.11,92.74,92.24,0.5,79.78,2.32
78,215,207,27,Anders Lindback,ARI,2015,0,0,13,19,5,7,1,443,396,3.112,0.894,1,0,0,40,314,0.887,3.38,710,5,4,2,0.385,0.892,0.085,3.077,-0.93,90.85,92.59,-1.74,76.06,-5.71
77,229,62,25,Anders Nilsson,EDM,2015,0,0,24,29,10,13,2,789,711,3.119,0.901,1,4,0,71,642,0.9,3.132,1360,12,5,3,0.5,0.904,0.087,2.667,-0.15,91.35,92.22,-0.87,82.4,-5.43
